-0.56,9.74,0.63,-0.15,0.20,0.05
0.28,9.68,0.68,-0.21,0.30,0.06
0.26,9.72,0.45,-0.27,0.26,0.07
-0.30,9.60,0.83,-0.32,0.32,0.04
0.09,9.53,0.93,-0.39,0.38,0.02
0.10,9.60,1.03,-0.51,0.40,0.08
-0.09,9.85,1.29,-0.55,0.35,0.05
-0.22,9.20,1.51,-0.62,0.47,0.05
0.56,9.99,1.52,-0.64,0.45,0.08
-0.46,8.96,2.09,-0.57,0.29,-0.03
-1.07,9.83,2.04,-0.61,0.30,0.00
0.27,9.26,2.71,-0.60,0.46,0.07
1.03,9.00,2.32,-0.60,0.40,0.02
1.03,9.61,2.86,-0.65,0.14,0.01
0.54,9.74,3.16,-0.63,-0.04,-0.05
-2.05,9.43,3.82,-0.55,-0.10,-0.04
-0.71,9.40,3.90,-0.47,0.15,0.03
1.54,9.51,3.19,-0.40,0.19,0.03
0.59,9.51,2.82,-0.38,-0.11,-0.04
-1.98,8.83,3.45,-0.38,-0.07,-0.04
-1.71,9.00,2.80,-0.41,0.06,0.04
-0.64,10.88,1.55,-0.41,0.17,0.12
-0.73,10.33,0.08,-0.26,0.12,0.13
-1.09,8.24,0.09,-0.77,0.03,0.20
0.83,11.27,-0.17,-1.00,-0.01,0.34
-0.10,6.69,5.34,-1.15,-0.02,0.16
1.74,6.28,6.07,-1.29,0.02,0.18
-0.04,8.03,7.03,-1.12,-0.38,0.09
0.08,8.54,4.77,-1.08,-0.49,0.09
1.60,9.15,2.45,-1.19,-0.39,0.05
2.97,10.07,1.79,-1.48,-0.36,0.04
3.63,14.01,2.87,-1.95,-0.87,-0.02
1.89,13.99,5.55,-1.90,-1.14,-0.15
-1.37,9.03,8.47,-1.53,-0.96,-0.15
-1.29,7.75,8.64,-1.35,-0.51,0.09
0.37,6.74,9.56,-1.06,-0.18,0.04
1.32,5.98,9.78,-0.74,-0.28,-0.02
2.37,6.69,7.82,0.18,-0.60,-0.10
0.95,5.34,8.22,1.00,-1.01,-0.23
-2.02,6.23,8.05,1.64,-0.78,-0.04
-0.26,-1.10,11.48,1.50,-0.44,0.07
0.78,8.39,6.43,-0.71,0.13,0.37
0.66,11.00,6.48,0.25,0.46,0.32
2.74,1.86,6.68,0.51,0.10,-0.03
3.13,8.64,6.42,0.20,0.11,0.31
1.68,7.11,6.40,0.45,-0.44,-0.09
1.16,6.28,6.76,0.46,-0.47,-0.12
1.13,8.38,6.04,0.42,-0.50,-0.15
0.07,7.27,6.08,0.50,-0.43,-0.12
0.98,8.06,5.12,0.46,-0.09,0.01
1.89,8.33,4.67,0.46,0.00,0.08
1.59,8.32,4.39,0.40,-0.06,0.00
1.91,8.34,4.54,0.37,-0.08,-0.02
1.77,8.74,4.43,0.31,-0.24,-0.03
1.33,8.71,3.94,0.27,-0.27,-0.01
1.28,8.29,3.98,0.19,-0.21,0.01
