0.01,7.89,-5.15,0.60,0.38,0.48
0.45,7.43,-5.02,0.60,0.48,0.58
0.75,7.12,-4.76,0.59,0.52,0.65
1.88,6.51,-4.83,0.56,0.54,0.73
2.32,6.00,-5.35,0.50,0.47,0.73
2.23,5.90,-5.28,0.32,0.30,0.66
1.60,5.72,-5.27,0.19,0.25,0.62
0.77,5.76,-4.93,0.02,0.30,0.61
0.35,5.96,-4.49,-0.07,0.40,0.62
0.89,5.93,-4.62,-0.22,0.59,0.68
1.82,6.02,-4.63,-0.31,0.64,0.67
1.99,6.24,-4.51,-0.46,0.68,0.61
1.62,6.38,-4.36,-0.53,0.75,0.60
2.24,6.50,-4.21,-0.65,0.94,0.69
3.18,6.50,-4.27,-0.72,0.92,0.71
4.57,6.28,-4.33,-0.88,0.75,0.62
4.66,5.94,-4.27,-0.99,0.60,0.48
5.08,28.38,-1.83,-0.92,0.45,0.24
5.64,4.86,-19.78,1.22,0.36,0.44
7.84,14.89,-6.21,-0.18,0.30,0.13
5.84,9.55,-5.85,-0.24,0.18,0.01
7.25,6.96,-3.46,-0.35,0.11,-0.20
6.96,7.58,-2.60,-0.28,0.05,-0.33
7.05,8.76,-3.68,-0.21,-0.11,-0.56
7.13,9.41,-4.11,-0.23,-0.18,-0.66
7.41,10.05,-6.19,-0.41,-0.53,-0.90
5.46,9.81,-7.15,-0.72,-0.77,-1.02
7.83,4.05,-7.26,-1.88,-1.18,-1.25
-7.06,9.71,-1.19,-2.26,-1.28,-1.10
2.72,9.16,-0.68,-2.20,-0.57,-0.27
4.62,7.81,-1.05,-2.19,-1.00,-0.28
4.37,8.91,-0.17,-2.03,-1.85,-0.62
2.64,7.32,-0.48,-1.98,-2.27,-0.88
0.28,6.37,-0.15,-2.14,-2.61,-1.17
-2.20,6.10,0.18,-2.31,-2.48,-1.19
-3.41,6.87,0.10,-2.57,-1.88,-1.02
-2.78,7.16,0.38,-2.71,-1.52,-0.89
-1.15,7.26,1.72,-2.88,-1.13,-0.73
-0.12,6.86,2.73,-2.86,-1.02,-0.70
0.63,6.00,4.02,-2.56,-1.09,-0.79
-0.59,6.28,5.17,-2.30,-1.06,-0.80
-1.42,6.61,6.45,-1.71,-0.83,-0.66
-1.70,6.65,7.18,-1.29,-0.65,-0.52
5.68,16.68,-1.76,1.08,0.33,0.12
-2.69,14.62,-1.36,0.40,-0.31,-0.03
-0.14,7.81,4.30,0.11,-0.09,0.14
-1.96,9.84,4.28,0.17,-0.36,0.08
0.42,9.73,1.48,0.20,0.00,0.28
2.79,9.04,0.39,0.13,-0.02,0.21
2.93,9.00,0.23,-0.07,-0.10,-0.02
1.43,9.14,0.70,-0.18,-0.10,-0.12
0.22,9.18,1.01,-0.32,-0.04,-0.17
-1.49,9.18,2.11,-0.39,-0.03,-0.16
-0.37,8.86,3.77,-0.43,-0.08,-0.09
0.58,9.20,4.57,-0.39,-0.16,-0.09
1.59,8.84,4.93,-0.27,-0.30,-0.19
1.48,9.23,4.45,-0.20,-0.33,-0.26
-0.32,9.55,3.51,-0.14,-0.34,-0.33
-0.69,9.70,2.91,-0.13,-0.26,-0.32
-1.12,9.70,2.28,-0.19,-0.16,-0.25
-0.97,9.75,1.69,-0.25,-0.11,-0.21
-0.85,9.33,1.12,-0.40,-0.03,-0.16
-0.63,9.26,1.72,-0.52,0.03,-0.13
-0.34,9.09,2.77,-0.63,0.09,-0.13
-1.31,8.96,3.56,-0.66,0.13,-0.12
-0.22,8.69,4.13,-0.66,0.24,-0.10
-0.12,8.58,4.21,-0.65,0.27,-0.11
0.21,9.30,4.39,-0.64,0.35,-0.14
0.16,9.71,4.12,-0.62,0.32,-0.19
